PROLIFIC_PID,Mini_VLAT_Raw_Score,Mini_VLAT_Corrected_Score,Total_NFC_Score,LoC_Score,Joyous_Exploration_Total,Deprivation_Sensitivity_Total,Stress_Tolerance_Total,Social_Curiosity_Total,Thrill_Seeking_Total,Extraversion,Agreeableness,Conscientiousness,Emotional_Stability,Openness_to_Experiences,ResponseId,Aesthetic_Appeal,Satisfaction_Rating,Perceived_Clarity,TIMER_First_Click,TIMER_Last_Click,TIMER_Page_Submit,Click_Count,Response,Success_Level,Effort_Level,Emotional_State,Vis,Task
662f7e42bf7bec74f6342ee4,5,3.75,81.0,12,30.0,29.0,30.0,25.0,25.0,10.0,13.0,13.0,12.0,13.0,R_21yeFQcXfQTYtWB,Appealing,Satisfied,Neutral,20.268,20.63,24.552,2,2010,Very Successful,Maximum Effort,Not At All,SA,ID
662f7e42bf7bec74f6342ee4,5,3.75,81.0,12,30.0,29.0,30.0,25.0,25.0,10.0,13.0,13.0,12.0,13.0,R_21yeFQcXfQTYtWB,Appealing,Satisfied,Neutral,43.478,43.478,50.814,1,Agriculture ,Somewhat Successful,High Effort,Slightly,SA,C
662f7e42bf7bec74f6342ee4,5,3.75,81.0,12,30.0,29.0,30.0,25.0,25.0,10.0,13.0,13.0,12.0,13.0,R_21yeFQcXfQTYtWB,Appealing,Satisfied,Neutral,23.816,23.816,32.622,1,Agriculture ,Very Successful,Maximum Effort,Not At All,SA,T
662f7e42bf7bec74f6342ee4,5,3.75,81.0,12,30.0,29.0,30.0,25.0,25.0,10.0,13.0,13.0,12.0,13.0,R_21yeFQcXfQTYtWB,Appealing,Satisfied,Neutral,27.545,294.525,296.294,26,Transportation and utilities were more resilient to economic downturns as Agriculture and business were more vulnerable. Economic downturns in struggling industries increased the rate of unemployment. ,Somewhat Successful,Maximum Effort,Slightly,SA,RC
662f7e42bf7bec74f6342ee4,5,3.75,81.0,12,30.0,29.0,30.0,25.0,25.0,10.0,13.0,13.0,12.0,13.0,R_21yeFQcXfQTYtWB,Appealing,Satisfied,Neutral,70.831,104.038,110.84,3,I couldn't find this information from chart,Complete Failure,Moderate Effort,Moderately,SA,DE1
662f7e42bf7bec74f6342ee4,5,3.75,81.0,12,30.0,29.0,30.0,25.0,25.0,10.0,13.0,13.0,12.0,13.0,R_21yeFQcXfQTYtWB,Appealing,Satisfied,Neutral,4.135,4.135,58.55,1,Economically struggling industries create more rooms for unemployment,,,,SA,DE2
662f7e42bf7bec74f6342ee4,5,3.75,81.0,12,30.0,29.0,30.0,25.0,25.0,10.0,13.0,13.0,12.0,13.0,R_21yeFQcXfQTYtWB,Appealing,Satisfied,Neutral,6.4,77.639,78.481,6,I learnt that some industries are key players to the economic growth of a society ,,,,SA,MEM
662f7e42bf7bec74f6342ee4,5,3.75,81.0,12,30.0,29.0,30.0,25.0,25.0,10.0,13.0,13.0,12.0,13.0,R_21yeFQcXfQTYtWB,Appealing,Satisfied,Clear,15.874,15.874,23.073,1,December ,Perfect Execution,Maximum Effort,Not At All,WF,ID
662f7e42bf7bec74f6342ee4,5,3.75,81.0,12,30.0,29.0,30.0,25.0,25.0,10.0,13.0,13.0,12.0,13.0,R_21yeFQcXfQTYtWB,Appealing,Satisfied,Clear,8.517,39.719,41.963,5,the fourth quarter,Very Successful,High Effort,Not At All,WF,C
662f7e42bf7bec74f6342ee4,5,3.75,81.0,12,30.0,29.0,30.0,25.0,25.0,10.0,13.0,13.0,12.0,13.0,R_21yeFQcXfQTYtWB,Appealing,Satisfied,Clear,13.231,31.488,51.159,5,The direction  of the company's financial performance from the beginning to the end of the year wasn't stable,Somewhat Successful,High Effort,Slightly,WF,T
